Municipality,Municipal Status,County / Region,Has DC Bylaw,Farm Building Exemption,Worker Housing DC Treatment,Worker Housing Mechanism,Operative Wording (Excerpt),DC Bylaw Name,DC Bylaw Link
Clarence-Rockland,Lower Tier,Prescott and Russell,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Clarington,Lower Tier,Durham,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farm uses exempt from development charges.,By-law 2025-070,https://www.clarington.net/planning-and-development/land-development-and-building/development-charges/
Clearview,Lower Tier,Simcoe,Yes,Yes,Exempt - Farm Help Housing,Farm help house/quarters/accommodation explicitly included in exemption,"Non-residential buildings that are accessory to an agricultural operation are exempt from development charges, provided no rezoning is required. ""Agricultural use"" means bona fide use of land and buildings for farming activities including apiaries, fish farming, dairy farming, fur farming, livestock raising, and cultivation of crops. Must have valid Farm Business Registration Number and be assessed in Farmland Realty Tax Class. Farm help accommodation also defined and supported.",By-law 24-43,https://www.clearview.ca/building-planning/development-charges
Cobalt,Single Tier,Timiskaming,No,No,No DC Bylaw,Municipality does not levy Development Charges,,,—
Cobourg,Lower Tier,Northumberland,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-Law 001-2022 (amended by 058-2025),https://www.cobourg.ca/media/vnko1sxc/developmentchargesbylawbrochure.pdf
Cochrane,Single Tier,Cochrane,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Cockburn Island,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Coleman,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Collingwood,Lower Tier,Simcoe,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,4. Applicable Lands (2) (e) a non-residential farm building.,By-law No. 2024-050 & 2024-036,https://www.collingwood.ca/media/file/collingwood-development-charges-pamphlet-january-2025
Conmee,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Cornwall,Single Tier,"Stormont, Dundas and Glengarry",Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Non-residential farm buildings or structures are exempt from development charges. ""Agricultural use"" means a bona fide farming operation, including sod farms, the breeding and boarding of horses, and greenhouses.",By-law 2023-027 (amended by By-law 2024-107),https://www.cornwall.ca/en/build-invest/planning-and-development/development-charges/
Cramahe,Lower Tier,Northumberland,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law No. 2025-13,https://www.cramahe.ca/media/evoj0vcx/2025-13-development-charges-by-law.pdf
Dawn-Euphemia,Lower Tier,Lambton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Dawson,Single Tier,Rainy River,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Deep River,Lower Tier,Renfrew,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,BY-LAW NUMBER 40-2022,https://www.deepriver.ca/departments/building-department/development-charges-5834.html
Deseronto,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Dorion,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Douro-Dummer,Lower Tier,Peterborough,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-Law Number 2024-44,https://www.dourodummer.ca/building-and-planning/planning-and-development/development-charges/
Drummond-North Elmsley,Lower Tier,Lanark,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"Notwithstanding Section 13 above, a Development Charge By-law shall not impose a Development Charge with respect to: (f) Bona Fide Farm Uses.",BY-LAW NO. 2024-036,https://www.dnetownship.ca/images/Development_Charges_Pamphlet_-2025_-_FINAL.pdf
Dryden,Single Tier,Kenora,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Dubreuilville,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Dufferin,Upper Tier,Dufferin,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"4. Applicable Lands (2) e) farm buildings as defined by, a building or structure used as part with a bona fide farming operation, but excluding a residential use.",By-law Number 2022-28,https://www.dufferincounty.ca/building-services/fees-by-laws/
Durham,Upper Tier,Durham,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,2.23 Exemptions (a) agricultural uses and farm buildings.,By-law Number 42-2023,https://www.durham.ca/en/regional-government/resources/By-law-42-2023---Regional-Residential-and-Non-residential-Development-Charges.pdf
Dutton-Dunwich,Lower Tier,Elgin,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,,,—
Dysart et al,Lower Tier,Haliburton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Ear Falls,Single Tier,Kenora,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
East Ferris,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
East Garafraxa,Lower Tier,Dufferin,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.9 Other Exemptions (a) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (i) Non-residential farm buildings constructed for bona fide farm uses",BY.LAW NUMBER 39-2024,https://www.eastgarafraxa.ca/business-and-development/development-charges/
East Gwillimbury,Lower Tier,York,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"3. Applicable Lands (4) (e) farm buildings, where “farm building” means that part of a bona fide farming operationencompassing to an agricultural use, but excluding a residential use.",By-law 2024-033 (amended by 2024-053),https://www.eastgwillimbury.ca/en/government/resources/Documents/DevelopmentCharges/2024-DC/2024-053-DC-Amendments-2024.pdf
East Hawkesbury,Lower Tier,Prescott and Russell,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
East Zorra-Tavistock,Lower Tier,Oxford,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,3. Applicable Lands (3) This by-law shall not apply to: (a) Farm Buildings as defined herein,By-law #2024-21 & #2024-25,https://www.ezt.ca/business-and-development/building-and-renovation/development-charges/
Edwardsburgh-Cardinal,Lower Tier,Leeds and Grenville,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Elgin,Upper Tier,Elgin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Elizabethtown-Kitley,Lower Tier,Leeds and Grenville,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Elliot Lake,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Emo,Single Tier,Rainy River,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Englehart,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Enniskillen,Lower Tier,Lambton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Erin,Lower Tier,Wellington,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"SEE SECTION 3.10 c) c) the development of non-residential farm buildings constructed for bona fide farm uses, which qualify as a farm business, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class;",By-Law # 24-35,https://pub-erin.escribemeetings.com/filestream.ashx?DocumentId=15312
Espanola,Single Tier,Sudbury,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Essa,Lower Tier,Simcoe,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,5. EXEMPTIONS AND DISCOUNTS (1) This By-law shall not apply to land that is owned by and used for the purposes of: (c) a non-residential farm building;,BY-LAW NO. 2023-32 (amended by 2024-51),https://www.essatownship.on.ca/development-construction/planning-development-services/development-charges/
"Essex, Co",Upper Tier,Essex,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,Farm buildings that are part of a bona fide farm operation are exempt from county development charges. Note: county DC not active until Jan 1 2028.,County DC By-law 2026-02,https://www.countyofessex.ca/doing-business/planning-and-development/development-charges-initiative/
"Essex, T",Lower Tier,Essex,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farm uses exempt. Must have Farm Business Registration Number and Farmland Realty Tax Class. Greenhouse retail GFA NOT exempt.,By-law Number 2384,https://www.essex.ca/media/x0ldr1v5/by-law-2384-development-charges-2024.pdf
Evanturel,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Faraday,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Fauquier-Strickland,Single Tier,Cochrane,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Fort Erie,Lower Tier,Niagara,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Discretionary Exemptions 3.10 Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to: (c) agricultural uses;","By-laws 20-2024, 21-2024, and 22-2024",https://www.forterie.ca/build-and-invest/planning-and-development/development-charges/
Fort Frances,Single Tier,Rainy River,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
French River,Single Tier,Sudbury,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Front of Yonge,Lower Tier,Leeds and Grenville,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Frontenac,Upper Tier,Frontenac,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Frontenac Islands,Lower Tier,Frontenac,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,4. Applicable Lands (2) f) a non-residential farm building;,By-Law Number 2021-20,https://www.frontenacislands.ca/township-services/by-laws/
Gananoque,Single Tier,Leeds and Grenville,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,BY-LAW NO. 2021-070,https://www.gananoque.ca/town-hall/planning-and-development/development-charges
Gauthier,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Georgian Bay,Lower Tier,Muskoka,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Exemptions a) a non-residential farm building or structure;,BY-LAW 2024-054,https://www.gbtownship.ca/sustainable-development/development-charges-and-fees/
Georgian Bluffs,Lower Tier,Grey,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Georgina,Lower Tier,York,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,3. Applicable Lands (3) a) the development of a non-residential farm building used for bona fide agricultural purposes;,BYLAW NUMBER 2025-0053,https://www.georgina.ca/sites/default/files/2026-01/bylaw-2025-0053-ad-5-to-impose-develoment-charges-in-the-town-of-georgina.pdf
Gillies,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Goderich,Lower Tier,Huron,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,N/A,By-Law 123-2021,https://www.goderich.ca/media/vixnk0eg/by-law-123-2021-development-charges-accessible.pdf
Gordon-Barrie Island,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Gore Bay,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Grand Valley,Lower Tier,Dufferin,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: non-residential farm buildings",BY-LAW NO. 2024-33,https://www.townofgrandvalley.ca/media/wybplpsq/brochure-development-charges-august-2025.pdf
Gravenhurst,Lower Tier,Muskoka,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Subject to Section 14 herein, the following types of development shall be exempt from payment of development charges: the development of a farm building",BY-LAW NO. 2024-110,https://www.gravenhurst.ca/business-building-development/building-and-planning/development-charges/
Greater Madawaska,Lower Tier,Renfrew,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,BY-LAW 26-2022,https://www.greatermadawaska.com/business-and-development/planning-and-development/development-charges/
Greater Napanee,Lower Tier,Lennox and Addington,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,A non-residential farm building constructed for bona fide farm uses,By-law 2022-0059 (as amended),https://www.greaternapanee.com/media/f0lnbgh1/2025-development-charges-summary-updated-jan-1-25.pdf
Greater Sudbury,Single Tier,Sudbury,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,"No explicit farm/agricultural exemption found in the DC bylaws. Exemptions focus on affordable housing, designated exempt areas (Downtown Sudbury, Val Caron, Walden, etc.), secondary dwelling units, garden suites, and brownfield redevelopment.",By-laws 2024-105 through 2024-110,https://www.greatersudbury.ca/live/building-and-renovating/development-charges/
Greenstone,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Grey,Upper Tier,Grey,Yes,Yes,Exempt - Seasonal Labourer Accommodation,Buildings devoted to accommodation of temporary/seasonal agricultural labourers explicitly exempted,The following categories of uses are hereby designated as being exempt from the payment of development charges: (e) farm buildings; (f) buildings or structures used for and devoted solely to accommodation of temporary or seasonal agricultural labourers which may contain their own culinary facilities and sanitary facilities; and;,By-Law 5128-22,https://www.westgrey.com/media/ejsdc1l2/generalservicesdevelopmentchargesby-law5128-22.pdf
Grey Highlands,Lower Tier,Grey,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"3. APPLICABLE LANDS (2) This by-law shall not apply to land that is owned by and used for the purposes of: (e) farm buildings, where ""Farm building"" means a building or structure actually used as part of or in connection with a bona fide farming operation and includes barns, silos, and other buildings or structures ancillary to a bona fide farming operation, but excluding a residential use.",By-law No. 2023-019,https://greyhighlands.civicweb.net/document/307767/
Grimsby,Lower Tier,Niagara,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3. 5 Exemptions Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: (b) Bona fide farm (non-residential) buildings including wholesale greenhouse facilities and structures, where “farm building” means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use and would include wholesale greenhouse facilities and structures;",BY-LAW NO. 21-14 (amended by 25-51),https://www.grimsby.ca/en/doing-business/development-charges.aspx
Guelph,Single Tier,Wellington,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,NO MENTION OF AGRICULTURE (CITY),"By-law Number (2024) – 20866, as amended by (2024) – 20997",https://guelph.ca/wp-content/uploads/Development-Charges-Bylaw.pdf
