Municipality,Municipal Status,County / Region,Has DC Bylaw,Farm Building Exemption,Worker Housing DC Treatment,Worker Housing Mechanism,Operative Wording (Excerpt),DC Bylaw Name,DC Bylaw Link
Severn,Lower Tier,Simcoe,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.7 Other Exemptions: Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: g) The development of non-residential farm buildings constructed for bonafide farm uses, excluding cannabis production facilities and on-farm diversified uses",By-law No. 2024-54,https://www.severn.ca/media/nfcjasrf/development-charges-background-study.pdf
Shelburne,Lower Tier,Dufferin,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,3. APPLICABLE LANDS (2) This by-law shall not apply to any of the following categories of development: (e) development of farm buildings.,"By-laws 19-2020, 20-2020, 21-2020",https://www.shelburne.ca/media/xm1blntq/dc-by-law-pamphlet-2025-updated-january-28-2026-web-version.pdf
Shuniah,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Simcoe,Upper Tier,Simcoe,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"4. APPLICABLE LANDS (2) This by-law shall not apply to land that is owned by and used for the purposes of: e) a farm buildin and farm equipment dealership as defined herein. farm building: a building used for bona fide farming operation, excluding residential and cannabis use farm equipment dealership: a building or structure used solely for sale of farm equipment",By-Law No. 6930,https://www.simcoe.ca/Finance/Documents/By-law%20No.%206930.pdf
Sioux Lookout,Single Tier,Kenora,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Sioux Narrows-Nestor Falls,Single Tier,Kenora,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Smiths Falls,Single Tier,Lanark,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,"EXEMPTIONS 11. (a) the development of a non-residential farm building used for a bona fide farm use, where ""bona fide farm use"" means the proposed development will qualify as a farm business operating with a valid FBRM issued by OMA. Excludes cannabis operations.",,https://www.smithsfalls.ca/
Smooth Rock Falls,Single Tier,Cochrane,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
South Algonquin,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
South Bruce,Lower Tier,Bruce,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,"3.10 Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: 3.1 0.2 The development of non-residential farm bu ildings constructed for bona fide farm uses.",By-Law 2025-36,https://www.southbruce.ca/media/zzplxun1/dc-by-law-2025-36.pdf
South Dundas,Lower Tier,"Stormont, Dundas and Glengarry",No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
South Frontenac,Lower Tier,Frontenac,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"4. APPLICABLE LANDS (2) c) bona fide agricultural use or farm building, excluding residential use",By-law 2024-53,https://www.southfrontenac.net/media/p5aoge3g/by-law-2024-53-development-charges.pdf
South Glengarry,Lower Tier,"Stormont, Dundas and Glengarry",No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
South Huron,Lower Tier,Huron,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"Agricultural buildings or structures exempt. Defined as buildings for animal husbandry, crop cultivation, market gardening, horticulture, or bona fide farming operations.",By-law 17-2020 (amended by 68-2020),https://www.southhuron.ca/media/tkvdez1f/68-2020-development-charges-brochure-2020.pdf
South River,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
South Stormont,Lower Tier,"Stormont, Dundas and Glengarry",Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"3.10 Other Exemptions: 3.10.1 Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (1) Bona-fide farm buildings;",By-law No. 2022-057,https://www.southstormont.ca/media/034lpdrw/2022-057-development-charges.pdf
South-West Oxford,Lower Tier,Oxford,Yes,Yes,Silent (Presumed Not Exempt),Farm building exemption exists but operative wording not yet recorded; standard 'non-residential farm building' language presumed,,BY-LAW NO. 2024-035,https://speakup.oxfordcounty.ca/2024-dc-background-study
Southgate,Lower Tier,Grey,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Other Exemptions: 3.7 Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: (a) Non-residential farm building for a bona fide farm use, with a valid Farm Business Registration Number and assessed as Farmland Realty Tax Class;",By-Law No. 2022-154,https://www.southgate.ca/en/municipal-services/resources/BuildingDocuments/By-law-2022-154---Development-Charges-By-law.pdf
Southwest Middlesex,Lower Tier,Middlesex,No,No,No DC Bylaw,Municipality does not levy Development Charges,,N/A,
Southwold,Lower Tier,Elgin,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,Standard farm building exemption for bona fide farm uses.,,https://www.southwold.ca/
Spanish,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Springwater,Lower Tier,Simcoe,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"15. Agricultural Uses 15.1. Agricultural uses as well as farm buildings and other ancillary development to an agricultural use, excluding any residential uses, shall be exempt from the provisions of this By-law.",By-law 2023-070,https://springwater-ca.govstack.com/media/vspl554e/township-of-springwater-dc-update-study.pdf
St Catharines,Lower Tier,Niagara,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"“Farm Building” means that part of a bona fide farming operation encompassing barns, silos, and other ancillary development to an agricultural farm, but excluding a residential use, greenhouses and other buildings and structures used as Cannabis Production Facilities and would include wholesale greenhouse facilities and structures",BY-LAW NO. 2021-140,https://stcatharines.civicweb.net/filepro/documents/799/?preview=97923
St Clair,Lower Tier,Lambton,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farm uses exempt from development charges.,By-law 6 of 2021,https://www.twpstclair.on.ca/en/build-invest-grow/development-charges.aspx
St Joseph,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
St Marys,Single Tier,Perth,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Development charges shall not be imposed with respect to non-residential farm buildings constructed for bona fide farm uses.,By-law 106-2022,https://www.townofstmarys.com/en/doing-business/development-charges.aspx
St Thomas,Single Tier,Elgin,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"The following uses are wholly exempt from development charges under the by-law: A non-residential farm building, except for the gross floor area in a greenhouse used for retail sales.",BY-LAW NUMBER 158-2020,
St-Charles,Single Tier,Sudbury,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Stirling-Rawdon,Lower Tier,Hastings,No,No,No DC Bylaw,Municipality does not levy Development Charges,,,—
Stone Mills,Lower Tier,Lennox and Addington,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,"Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to: c) Agricultural Uses: Non-residential farm buildings constructed and used exclusively for bona fide agricultural purposes operating with a valid Farm Business Registration Number and assessed in Farmland Reality Tax Class;",,—
"Stormont, Dundas and Glengarry",Upper Tier,"Stormont, Dundas and Glengarry",No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Stratford,Single Tier,Perth,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law 41-2022,https://www.stratford.ca/media/yaacguhp/by-law-41-2022-development-charges-aoda.pdf
Strathroy-Caradoc,Lower Tier,Middlesex,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,Exemptions from the Payment of Development Charges 6. (1) These rules provide for an exemption by user for all development upon lands owned and occupied by: (3) farm buildings as defined in this by-law are exempt from paying development charges,By-law No. 10-20 (amended by 34-22),https://www.strathroy-caradoc.ca/media/g21a25kx/dc-pamplet-_2025.pdf
Strong,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Sundridge,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Tarbutt,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Tay,Lower Tier,Simcoe,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Farm buildings are exempt from development charges. ""Farm building"" means the part of a farming operation or hobby farm operation that includes barns, stables, silos, and other ancillary developments related to an agricultural use, but does not include a dwelling unit.","By-laws 2024-04, 2024-05, 2024-06 (amended by 2024-67)",https://www.tay.ca/media/nkrowxmd/2025-tay-dc-pamphlet.pdf
Tay Valley,Lower Tier,Lanark,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,No explicit farm exemption confirmed. Previous bylaw had exemptions section. Specific agricultural exemption status requires review of Section 14 of By-law 2024-046.,By-law 2024-046,https://www.tayvalleytwp.ca/media/ar2jjxjo/2025-development-charges-pamphlet.pdf
Tecumseh,Lower Tier,Essex,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farming uses exempt from development charges.,By-Law Number 2024-063,https://www.tecumseh.ca/media/dowfgxyz/by-law-2024-063-development-charges-by-law-axes.pdf
Tehkummah,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Temagami,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Temiskaming Shores,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Terrace Bay,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Thames Centre,Lower Tier,Middlesex,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,2) Development Charges as per this by- law shall not apply to land that is owned by and used for the purposes of: a non- residential farm building constructed for bona fide farm uses;,By-law No. 17-2022,https://www.thamescentre.on.ca/media/q1nnxg2s/2026-thames-centre-development-charges-pamphlet.pdf
The Archipelago,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
The Blue Mountains,Lower Tier,Grey,Yes,Yes,Silent - Dwelling Excluded,Agricultural use exemption explicitly excludes portions used as dwelling units; worker housing would not qualify,"Categories of Exempt Uses 20. The following categories of uses are hereby designated as being exempt from the payment of development charges: (3) land, buildings or structures for agricultural use which do not receive municipal sanitary sewer or water supply services; where “agricultural use” means lands, buildings, or structures, excluding any portion thereof used as a dwelling unit, used, designed or intended to be used for the purpose of a bona fide farming operation including, but not limite",By-law 2024-15,https://www.thebluemountains.ca/sites/default/files/2024-04/The%20Blue%20Mountains_Notice%20of%20DC%20By-Law%20Passage_18April2024.pdf
The Nation,Lower Tier,Prescott and Russell,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"4) Notwithstanding Section 3 of this By-law and in accordance with the statutory exemptions set out in the Act, Development Charges shall not be imposed with respect to: • Agricultural use buildings or structures. where ""agricultural use"" is not explicitly defined.",By-law 63-2023,https://www.nationmun.ca/media/file/63-2023-dev-chg-by-law
The North Shore,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
The South Bruce Peninsula,Lower Tier,Bruce,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-Law Number 30-2022,https://southbrucepeninsula.civicweb.net/filepro/documents/100224/?preview=101508
Thessalon,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Thornloe,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Thorold,Lower Tier,Niagara,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Agricultural Uses 22. Agricultural uses as well as farm buildings and other ancillary development to an agricultural use excluding any residential, commercial or industrial uses shall be exempt from the provisions of this By-law.",By-law 41-2024,https://www.thorold.ca/media/vbbexxeu/by-law-41-2024-development-charges.pdf
Thunder Bay,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Tillsonburg,Lower Tier,Oxford,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"3. Applicable Lands 3) This by-law shall not apply to: a) Farm Buildings as defined herein, ""Farm Building"" means a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and excludes residential uses.",By-law No. 2024-067,https://www.tillsonburg.ca/media/wi0axjlq/nvjbekwl_development-charges-by-law-notice-of-passing-003.pdf
Timmins,Single Tier,Cochrane,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Tiny,Lower Tier,Simcoe,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farm uses exempt from development charges.,By-law 25-054,https://www.tiny.ca/building-tiny/getting-started/building-vacant-lot/development-charges
Toronto,Single Tier,Toronto,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law 1137-2022,https://www.toronto.ca/city-government/budget-finances/city-finance/development-charges/development-charges-bylaws-rates/
Trent Hills,Lower Tier,Northumberland,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,Farm buildings are exempt from development charges.,"By-law Nos. 2024-023, 2024-024, 2024-025, 2024-026 (amended by 2024-109, 2024-110, 2024-111)",https://www.trenthills.ca/en/build-invest-grow/development-charges.aspx
Trent Lakes,Lower Tier,Peterborough,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Categories of Exempt Uses 18. The following categories of uses are hereby designated as being exempt from the payment of development charges: e) the development of bon-residential farm buildings constructed for bona fide farm uses, which qualify as a farm business, being that which operates with a valid FBRM and is assessed in the FRTC",By-law No. B2019-041,https://www.trentlakes.ca/media/ewsjuc3e/development-charges-pamphlet.pdf
Tudor and Cashel,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Tweed,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Tyendinaga,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Uxbridge,Lower Tier,Durham,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Agricultural Uses 22. Agricultural uses as well as farm buildings and other ancillary development to an agricultural use excluding any residential, commercial or cannabis production facilities uses shall be exempt from the provisions of this By-law.",By-law No. 2024-055,https://www.uxbridge.ca/en/index.aspx
Val Rita-Harty,Single Tier,Cochrane,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Vaughan,Lower Tier,York,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Rules – Application, Exemptions and Exceptions (8) Notwithstanding any other provisions of this By-law, a building or structure shall be exempt from the payment of development charges provided that it is for (d) an agricultural use;",By-law 084-2024,https://www.vaughan.ca/business/development-charges/development-charge-rates-and-by-laws
Wainfleet,Lower Tier,Niagara,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Exemptions 3.5 Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: (b) bona fide farm (non-residential) buildings; where ""farm building"" means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use. This excludes BL025-2021 2021 07 27 Page4 ) a residential use, marijuana production facilities, wholesale greenhouse facilities, value added production uses, and value added marke",By-law No. 025-2021,https://www.wainfleet.ca/sites/24/files/2024-06/BL025-2021-Signed.pdf
Warwick,Lower Tier,Lambton,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.10 Other Exemptions/Reductions Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: • Non-residential farm buildings. where “Farm building” means that part of a bona fide farming operation encompassing barns, silos, and other ancillary development to an agricultural use, but excluding a residential use and would include wholesale greenhouse facilities and structures;",By-law 75 of 2021,https://www.warwicktownship.ca/en/doing-business/resources/Documents/By-law-75-of-2021-Development-Charges.pdf
Wasaga Beach,Lower Tier,Simcoe,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,BY-LAW NO. 2024-55,https://www.wasagabeach.com/en/doing-business/resources/Documents/BY-LAW-NO.-2024-55-Development-Charges.pdf
"Waterloo, C",Lower Tier,Waterloo,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,BY-LAW NO. 2019-064,https://www.waterloo.ca/en/government/resources/Documents/By-law/Development-Charges-Bylaw-2019-064.pdf
"Waterloo, R",Upper Tier,Waterloo,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"Rules for the Application and Imposition of Development Charges: (4) This By-law does not apply to: (c) Development for any one or more of the following uses of land: (iii) Farming, excluding a Farm Occupation; where ""Farming"" means the production of crops or the breeding, raising or maintaining of livestock, or both, and includes but is not limited to: (a) fur farming; (b) fruit and vegetable growing; (c) the keeping of bees; (d) fish farming; and (e) sod farming, and includes such buildings an",By-Law Number 19-037,https://www.regionofwaterloo.ca/en/doing-business/resources/Developmet-Charges-By-law-July-9-2019.pdf
Wawa,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Welland,Lower Tier,Niagara,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"22. This By-law shall not apply to: m) Agricultural development where ""Agricultural Use"" means use or intended use for bona fide farming purposes: i. including but not limited to: 1. cultivation of crops, whether on open land or in greenhouses, including, but not limited, to fruit, vegetables, herbs, grains, field crops, sod, trees, shrubs, flowers and ornamental plants. 2. raising of animals, including, but not limited, to cattle, horses, pigs, poultry, livestock, fish, and 3. animal husbandry,",BY-LAW NUMBER 2024-110,https://www.welland.ca/en/doing-business/resources/Documents/BY-LAW-NUMBER-2024-110-Development-Charges.pdf
Wellesley,Lower Tier,Waterloo,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"3. APPLICATION OF DEVELOPMENT CHARGES 3.6 Subsection shall not apply to: d) an agricultural use; where ""agricultural use"" means the use of land and buildings for apiaries, fish farming, animal husbandry or the cultivation of trees, shrubs, flowers, grains, sod, fruits, vegetables and other crops or ornamental plants;",BY-LAW NO. 35/2024,https://www.wellesley.ca/en/doing-business/resources/Documents/BY-LAW-NO.-35-2024-Development-Charges.pdf
Wellington,Upper Tier,Wellington,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,,By-law 5828-24,https://www.wellington.ca/en/doing-business/resources/Documents/By-law-5828-24-Development-Charges.pdf
Wellington North,Lower Tier,Wellington,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"No twithstanding the provision of this by-law, development charges shall not be imposed with respect to: a) Bona fide farm uses used for farming purposes and includes ancillary agricultural uses such as non-residential accessory buildings or structures, storage buildings or structures and driving sheds, but does not include buildings or structures used for residential purposes;",BY-LAW 055-2024,https://www.wellington-north.com/en/doing-business/resources/Documents/BY-LAW-055-2024-Development-Charges.pdf
West Elgin,Lower Tier,Elgin,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,,BY-LAW 2024-35,https://www.westelgin.net/en/doing-business/resources/Documents/BY-LAW-2024-35-Development-Charges.pdf
West Grey,Lower Tier,Grey,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Non-residential buildings accessory to agricultural operations exempt. Residential units accessory to ag uses also not charged. Ag use = apiaries, fish farming, animal husbandry, crop cultivation.",By-Law 52-2021,https://www.westgrey.com/en/doing-business/resources/Documents/By-Law-52-2021-Development-Charges.pdf
West Lincoln,Lower Tier,Niagara,Yes,Yes,Exempt - Farm Help Housing,Farm help house/quarters/accommodation explicitly included in exemption,"Non-residential farm buildings used for bona fide farming activities are exempt (barns, silos, implement/agricultural storage buildings, cultivation structures including greenhouses). Farm helphouses also exempt. Must have valid Farm Business Registration Number from OMAFRA. ""Agricultural use"" = bona fide farming purposes.",By-law 2024-55,https://www.westlincoln.ca/en/doing-business/resources/Documents/By-law-2024-55-Development-Charges.pdf
West Nipissing,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
West Perth,Lower Tier,Perth,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"no development charge for ""bona fide farm uses""",By-law 63-2019 (amended by 38-2024),https://www.westperth.com/media/exfpwliw/38-2024-amending-63-2019-dc-extension-by-law.pdf
Westport,Lower Tier,Leeds and Grenville,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Whitby,Lower Tier,Durham,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Exemptions 12. (1) Notwithstanding the provisions of this by-law, development charges shall not be imposed under this by-law respecting: (a) the development of a non-residential farm building used for a bona fide farm use; where “bona fide farm use” means the proposed development will qualify as a farm business operating with a valid Farm Business Registration Number issued by the Ontario Ministry of Agriculture, Food and Rural Affairs and be assessed in the Farmland Realty Tax Class by the Muni",By-law Number 7748-21,https://www.whitby.ca/media-manager/media-pages/by-laws/development-charges-by-law/
Whitchurch-Stouffville,Lower Tier,York,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.9 Other Exemptions (a) The development of non-residential farm buildings constructed for an agricultural use. ""agricultural use"" means use or intended use for bona fide farming purposes: (a) including (but not limited to): (i) cultivation of crops, whether on open land or in greenhouses, including (but not limited to) fruit, vegetables, herbs, grains, field crops, sod, trees, shrubs, flowers, and ornamental plants; (ii) raising of animals, including (but not limited to) cattle, horses, pigs, p",By-law 2023-152-FI,https://townofws.ca/media/1g4db1qc/stouffville-development-charges-guide-november-21-2024.pdf
White River,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Whitestone,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Whitewater Region,Lower Tier,Renfrew,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"3.10 Other Exemptions: Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (b) bona fide farm uses and buildings, as defined by this By-law, are wholly exempted from the development charges imposed pursuant to this by-law. where “Bona fide farm uses” means the proposed development that will qualify as a farm business operating with a valid Farm Business Registration Number issued by the Ontario Ministry of Agriculture, Food and Rural Affairs an",By-law Number 21-05-1382,https://www.whitewaterregion.ca/services/planning/development-charges/
Wilmot,Lower Tier,Waterloo,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farm uses exempt from development charges.,By-law 2019-42,https://www.wilmot.ca/media/njwdxq12/wilmot-dc-by-law-consolidated-version.pdf
Windsor,Single Tier,Essex,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,No explicit farm exemption found. Windsor is primarily urban with limited agricultural land.,By-law 1-2021,https://www.citywindsor.ca/business/planning/development-charges
Wollaston,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Woodstock,Lower Tier,Oxford,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"OTHER EXEMPTIONS FROM DEVELOPMENT CHARGES 6. (1) Notwithstanding any other provision of this By-law, development charges shall not be imposed with respect to (d) farm buildings as defined herein; where “Farm Building” means a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock, or the production, storage or processing of agricultural and horticultural produce or feeds, and as part",BY-LAW NUMBER 9538-22,https://www.cityofwoodstock.ca/en/resourcesGeneral/PDFs/Engineering/ReportsStudies/Development-Charges-Study/9538-22-A-by-law-to-establish-development-charges.pdf
Woolwich,Lower Tier,Waterloo,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.11 Other Exemptions: Notwithstanding the provision of this by-law development charges shall not be imposed with respect to c) The development of non-residential farm buildings constructed for bona-fide farm uses except for any building constructed to accommodate an On-Farm Business which shall be considered to be an industrial building. where “bona fide farm uses"" means the proposed development will qua lify as a farm business operating with a valid Farm Business Registration Number issued by ",By-law No. 39-2024,https://www.woolwich.ca/media/crykrumt/39-2024-a-by-law-for-the-imposition-of-development-charges.pdf
York,Upper Tier,York,Yes,Yes,Silent - Dwelling Excluded,Agricultural use exemption explicitly excludes portions used as dwelling units; worker housing would not qualify,"Exemptions 3.5.1 Notwithstanding the provisions of this bylaw, but subject to subsection 3.5.2, development charges shall not be imposed or may be deferred, on terms and conditions, satisfactory to the Region, with respect to: (g) agricultural uses; where “agricultural use” means lands, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation including, but not limited to, animal husbandr",By-law No. 2022-31 (as amended),https://www.york.ca/business/economic-and-development-services/land-development/development-charges
Zorra,Lower Tier,Oxford,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"3.0. Applicable Lands 3.3. This by-law shall not apply to: (a) Farm Buildings as defined herein; where “Farm Building” means a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings",By-law 2024-30,https://www.zorra.ca/media/o2veejcw/fact-sheet-development-charges-2025-02-26.pdf
dawn,Lower Tier,Lennox and Addington,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
